IDExam,100,101
q1,A,
q2,A,
q3,B,
q4,C,
q5,D,
q6,B,
q7,B,
q8,D,
q9,C,
q10,A,
q11,C,
q12,B,
q13,B,
q14,B,
q15,A,
q16,A,
q17,C,
q18,A,
q19,B,
q20,B,
q21,C,
q22,B,
q23,B,
q24,D,
q25,D,
q26,D,
q27,C,
q28,C,
q29,A,
q30,B,
q31,A,
q32,B,
q33,B,
q34,A,
q35,B,
q36,C,
q37,D,
q38,D,
q39,C,
q40,B,
q1a,Dung,
q1b,Sai,
q1c,Dung,
q1d,Dung,
q2a,Sai,
q2b,Sai,
q2c,Dung,
q2d,Dung,
q3a,Dung,
q3b,Sai,
q3c,Sai,
q3d,Sai,
q4a,Dung,
q4b,Dung,
q4c,Dung,
q4d,Sai,
q4e,Dung,
q5a,Dung,
q5b,Dung,
q5c,Dung,
q5d,Sai,
q6a,Sai,
q6b,Dung,
q6c,Sai,
q6d,Sai,
q7a,Dung,
q7b,Sai,
q7c,Sai,
q7d,Dung,
q8a,Sai,
q8b,Sai,
q8c,Sai,
q8d,Dung,
q41,"-1,5",
q42,"2,4",
q43,"32",
q44,"-4,2",
q45,"10",
q46,"-1",
